route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
22,7069_RO,7069_4961,CHYNÓW,,0,22/1,518422,0,0
22,7069_RO,7069_4962,DWORZEC GŁÓWNY,,1,22/1,518423,0,0
22,7069_RO,7069_4963,DWORZEC GŁÓWNY,,1,22/1,518423,0,0
22,7069_RO,7069_4964,CHYNÓW,,0,22/1,518425,0,0
22,7069_RO,7069_4965,DWORZEC GŁÓWNY,,1,22/1,518423,0,0
22,7069_RO,7069_4966,CHYNÓW,,0,22/1,518422,0,0
22,7069_RO,7069_4967,DWORZEC GŁÓWNY,,1,22/1,518420,0,0
19,7069_RO,7069_497,OS. ŚLĄSKIE,,0,19/2,518286,0,0
21,7069_RO,7069_4973,JANY,,0,21/1,518433,0,0
21,7069_RO,7069_4974,DWORZEC GŁÓWNY,,1,21/1,518427,0,0
21,7069_RO,7069_4975,JANY,,0,20/1,518433,0,0
21,7069_RO,7069_4976,DWORZEC GŁÓWNY,,1,20/1,518427,0,0
22,7069_RO,7069_4977,CHYNÓW,,0,20/1,518422,0,0
22,7069_RO,7069_4978,DWORZEC GŁÓWNY,,1,20/1,518420,0,0
22,7069_RO,7069_4979,CHYNÓW,,0,101/4,518422,0,0
19,7069_RO,7069_498,ŁĘŻYCA,,1,14/1,518287,0,0
21,7069_RO,7069_4983,DWORZEC GŁÓWNY,,1,21/1,518427,0,0
21,7069_RO,7069_4988,JANY,,0,25/21,518433,0,0
19,7069_RO,7069_499,OS. ŚLĄSKIE,,0,14/1,518293,0,0
1,7069_RO,7069_4990,DWORZEC GŁÓWNY,,0,25/21,518404,0,0
22,7069_RO,7069_4991,CHYNÓW,,0,27/1,518422,0,0
19,7069_RO,7069_500,OS. CZARKOWO,,1,14/1,518289,0,0
0,7069_RO,7069_5000,"ZAWADZKIEGO ""ZOŚKI""",,1,0/2,518380,0,0
21,7069_RO,7069_5002,JANY,,0,101/4,518433,0,0
21,7069_RO,7069_5004,DWORZEC GŁÓWNY,,1,21/1,518427,0,0
19,7069_RO,7069_501,OS. ŚLĄSKIE,,0,14/1,518286,0,0
21,7069_RO,7069_5014,JANY,,0,21/1,518433,0,0
21,7069_RO,7069_5015,DWORZEC GŁÓWNY,,1,21/1,518427,0,0
21,7069_RO,7069_5016,JANY,,0,22/20,518433,0,0
21,7069_RO,7069_5017,DWORZEC GŁÓWNY,,1,22/20,518427,0,0
21,7069_RO,7069_5023,STOŻNE PRZEZ JANY,,0,21/1,518429,0,0
21,7069_RO,7069_5024,DWORZEC GŁÓWNY,,1,21/1,518430,0,0
9,7069_RO,7069_5032,JĘDRZYCHÓW,,0,9/1,518324,0,0
19,7069_RO,7069_504,ŁĘŻYCA,,1,10/2,518287,0,0
19,7069_RO,7069_505,ZAJEZDNIA CHEMICZNA,,0,10/2,518292,0,0
12,7069_RO,7069_507,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
19,7069_RO,7069_508,ŁĘŻYCA,,1,39/20,518287,0,0
19,7069_RO,7069_510,OS. ŚLĄSKIE,,0,39/20,518293,0,0
19,7069_RO,7069_511,OS. CZARKOWO,,1,19/2,518289,0,0
19,7069_RO,7069_512,OS. ŚLĄSKIE,,0,19/2,518286,0,0
19,7069_RO,7069_513,ŁĘŻYCA,,1,19/2,518287,0,0
19,7069_RO,7069_514,OS. ŚLĄSKIE,,0,19/2,518293,0,0
102,7069_RO,7069_515,OS. DOLINA ZIELONA,,0,101/2,518576,0,0
8,7069_RO,7069_517,OS. ŚLĄSKIE,,0,8/2,518499,0,0
15,7069_RO,7069_519,ZAJEZDNIA CHEMICZNA PRZEZ OS. ZDROJOWE,,1,30/1,518417,0,0
19,7069_RO,7069_520,OS. CZARKOWO,,1,19/21,518289,0,0
19,7069_RO,7069_521,OS. ŚLĄSKIE,,0,19/21,518286,0,0
19,7069_RO,7069_522,ŁĘŻYCA,,1,19/21,518287,0,0
19,7069_RO,7069_523,OS. ŚLĄSKIE,,0,19/21,518293,0,0
2,7069_RO,7069_525,JĘDRZYCHÓW,,0,0/1,518437,0,0
2,7069_RO,7069_526,PRZYLEP,,1,0/1,518439,0,0
2,7069_RO,7069_527,JĘDRZYCHÓW,,0,1/3,518436,0,0
12,7069_RO,7069_529,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
2,7069_RO,7069_530,JĘDRZYCHÓW,,0,1/10,518437,0,0
2,7069_RO,7069_531,PRZYLEP,,1,2/11,518439,0,0
2,7069_RO,7069_532,JĘDRZYCHÓW,,0,2/11,518436,0,0
30,7069_RO,7069_533,DWORZEC GŁÓWNY,,1,2/11,518375,0,0
2,7069_RO,7069_538,JĘDRZYCHÓW,,0,2/20,518437,0,0
2,7069_RO,7069_539,PRZYLEP,,1,2/20,518439,0,0
2,7069_RO,7069_540,JĘDRZYCHÓW,,0,2/20,518436,0,0
2,7069_RO,7069_542,PRZYLEP,,1,2/20,518439,0,0
2,7069_RO,7069_543,JĘDRZYCHÓW,,0,2/20,518436,0,0
2,7069_RO,7069_544,ZAJEZDNIA CHEMICZNA,,1,2/20,518440,0,0
1,7069_RO,7069_55,JĘDRZYCHÓW PRZEZ SŁUBICKĄ,,0,1/2,518408,0,0
3,7069_RO,7069_552,DWORZEC GŁÓWNY,,0,20/21,518283,0,0
1,7069_RO,7069_555,DWORZEC GŁÓWNY,,0,20/20,518410,0,0
25,7069_RO,7069_556,DROSZKÓW PRZEZ ZATORZE,,0,20/20,518456,0,0
25,7069_RO,7069_557,DWORZEC GŁÓWNY,,1,20/20,518461,0,0
8,7069_RO,7069_558,BOTANICZNA,,1,8/2,518500,0,0
20,7069_RO,7069_559,PRZYLEP LOTNISKO,,0,20/22,518444,0,0
1,7069_RO,7069_56,CHYNÓW,,1,1/2,518409,0,0
8,7069_RO,7069_560,OS. ŚLĄSKIE,,0,8/2,518499,0,0
20,7069_RO,7069_561,DWORZEC GŁÓWNY,,1,20/22,518449,0,0
12,7069_RO,7069_562,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
102,7069_RO,7069_563,OS. DOLINA ZIELONA,,0,101/4,518576,0,0
101,7069_RO,7069_564,LECHITÓW,,0,101/1,518340,0,0
5,7069_RO,7069_565,OS. CZARKOWO,,1,5/20,518371,0,0
20,7069_RO,7069_568,PRZYLEP,,0,22/1,518445,0,0
20,7069_RO,7069_569,DWORZEC GŁÓWNY,,1,22/1,518448,0,0
20,7069_RO,7069_570,PRZYLEP,,0,20/20,518445,0,0
20,7069_RO,7069_571,DWORZEC GŁÓWNY,,1,20/20,518448,0,0
20,7069_RO,7069_577,PRZYLEP,,0,1/3,518445,0,0
20,7069_RO,7069_578,DWORZEC GŁÓWNY,,1,0/1,518448,0,0
20,7069_RO,7069_579,PRZYLEP LOTNISKO,,0,20/11,518444,0,0
20,7069_RO,7069_580,DWORZEC GŁÓWNY,,1,20/11,518449,0,0
25,7069_RO,7069_581,NOWY KISIELIN PRZEZ ZATORZE I PARK,,0,9/2,518463,0,0
25,7069_RO,7069_582,DWORZEC GŁÓWNY,,1,9/2,518467,0,0
25,7069_RO,7069_583,NOWY KISIELIN,,0,25/1,518468,0,0
25,7069_RO,7069_584,DWORZEC GŁÓWNY,,1,25/1,518467,0,0
25,7069_RO,7069_587,DROSZKÓW,,0,17/1,518459,0,0
25,7069_RO,7069_588,DWORZEC GŁÓWNY,,1,17/1,518461,0,0
25,7069_RO,7069_589,DROSZKÓW PRZEZ ZATORZE I PARK,,0,25/1,518457,0,0
25,7069_RO,7069_590,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,25/1,518465,0,0
8,7069_RO,7069_593,BOTANICZNA,,1,8/2,518500,0,0
8,7069_RO,7069_595,OS. ŚLĄSKIE,,0,8/2,518499,0,0
20,7069_RO,7069_598,PRZYLEP,,0,55P/10,518445,0,0
20,7069_RO,7069_599,DWORZEC GŁÓWNY,,1,55P/10,518448,0,0
25,7069_RO,7069_600,NOWY KISIELIN PRZEZ ZATORZE,,0,55P/10,518458,0,0
25,7069_RO,7069_602,DWORZEC GŁÓWNY,,1,55P/10,518467,0,0
25,7069_RO,7069_603,DROSZKÓW PRZEZ ZATORZE,,0,25/22,518456,0,0
25,7069_RO,7069_604,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,25/22,518465,0,0
25,7069_RO,7069_605,DROSZKÓW,,0,25/20,518459,0,0
8,7069_RO,7069_606,BOTANICZNA,,1,14/1,518500,0,0
25,7069_RO,7069_607,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,25/20,518465,0,0
101,7069_RO,7069_608,LECHITÓW,,0,101/3,518340,0,0
25,7069_RO,7069_609,NOWY KISIELIN,,0,30/1,518468,0,0
25,7069_RO,7069_610,DWORZEC GŁÓWNY PRZEZ ZATORZE,,1,30/1,518460,0,0
